"","CountryName","ISO2","Year","scale20","S_GDPpercapitaUS","S_RealGDPgrowth","S_NetGGdebtGDP","S_GGbalanceGDP","S_NarrownetextdebtCARs","S_CurrentaccountbalanceGDP","ln_S_GDPpercapitaUS","ln_S_GDPpercapitaUS_Z","S_RealGDPgrowth_Z"
"1","Albania","AL",2015,6,4487.64060175908,0.0356513587435847,74.8298343624531,-6.07789722305513,38.9030642811367,-11.9304183578305,8.40908236417402,-0.976043794817134,0.445690761781888
"2","Albania","AL",2016,7,3875.37050842328,-0.136434743258139,74.6474055763644,-4.91216837215848,34.0614821377473,-9.67155051728165,8.26239655229359,-1.01414005662389,-0.304227645714706
"3","Albania","AL",2017,7,4049.15974482069,0.0448445473844823,74.6871690428138,-2.69161598767525,26.7321261127704,-8.66270475153205,8.30626466816098,-0.970750106988866,0.573113777425974
"4","Albania","AL",2018,7,4405.3845861384,0.0879750031530269,74.8681865058919,-3.48155561113071,38.1927140142696,-9.23208949933375,8.39058284128762,-0.970048571611943,0.136758471520859
"5","Albania","AL",2019,7,5092.43164409289,0.15595620416803,72.8143969110275,-3.48914914523219,39.731188939799,-8.84731271752108,8.53551072515233,-0.903323675847565,1.55677218495035
"6","Albania","AL",2020,7,5292.1109760885,0.0392109989786977,70.3570764921874,-3.90379385552223,35.6686313106297,-8.5226281208904,8.57397249555323,-0.88627730484048,0.882115951143316
"7","Australia","AU",2015,20,56986.8195210121,-0.113513243516693,25.0127545008719,-5.91972925347897,305.656949081224,-7.12398059725351,10.9505752836039,1.44299643310748,-1.99215235316471
"8","Australia","AU",2016,20,52356.6422027809,-0.0812499689778969,27.3214484154511,-5.28005752006326,306.186741102679,-7.64021227854973,10.8658340889144,1.49336023682722,0.269687302672429
"9","Australia","AU",2017,20,47193.2039634335,-0.0986205001334692,30.9725735021813,-5.50494000528633,363.21480770482,-8.23425421438477,10.7620051773814,1.39672032751397,-1.30796925989269
"10","Australia","AU",2018,20,50819.299775973,0.0768351268404877,31.1831368319221,-5.29965326243769,314.393133687452,-5.88795272820218,10.8360314782663,1.40253731306914,-0.092390049295485
"11","Australia","AU",2019,20,54340.854820505,0.0692956231206674,32.3769127705869,-4.14586005893974,300.936205233103,-6.23662716467401,10.9030316138192,1.38790735646772,-0.284820814039855
"12","Australia","AU",2020,20,52264.0080749091,-0.0382188825048119,31.1250791977509,-3.15529589931775,288.045296934466,-3.85418668436383,10.8640632310229,1.37832990700184,-0.960791695919351
"13","Austria","AT",2015,19,51319.2574076926,0.0213362267485131,81.3747350558462,-3.33888503235277,118.444869141634,1.67104109550513,10.8458213487826,1.34328968970915,0.211734143087305
"14","Austria","AT",2016,19,43882.9992912066,-0.144901904121695,81.8621669502187,-1.62960499561952,129.274142361041,0.919230825950392,10.6892822641774,1.32331438548254,-0.392285090061871
"15","Austria","AT",2017,19,44822.4792045866,0.0214087443555455,78.580550962859,-2.17235705917449,120.121431919102,1.90521579011904,10.7104650605192,1.34703278829551,0.26582853752698
"16","Austria","AT",2018,19,47028.6413988085,0.0492199948189411,74.9117118310517,-1.36138567956916,131.417261925688,0.737271585003182,10.7585120865526,1.32732763097328,-0.660436451010249
"17","Austria","AT",2019,19,50892.7267373613,0.0821645113194951,72.1411893199312,-0.452962240591861,110.36534747014,1.48264516382599,10.8374752991528,1.32446349700831,-0.0113486756659332
"18","Austria","AT",2020,19,49496.8123263846,-0.0274285639710475,70.1840280537773,-0.751818438891746,126.152978119003,0.955524243608271,10.8096635490364,1.32453557027952,-0.703971458575305
"19","Azerbaijan","AZ",2015,11,7712.73352704908,0.00869517318406299,-31.0056637202433,1.218612159758,-59.0956477871643,11.7360764800955,8.95062794678916,-0.460590637507238,0.00513750467041551
"20","Azerbaijan","AZ",2016,10,5420.55591366346,-0.297193933298331,-56.4225494274387,-5.88686193282441,-67.8844581210238,-1.64409268695785,8.59795365627063,-0.690948305388656,-1.97610369228771
"21","Azerbaijan","AZ",2017,10,3818.69679612152,-0.295515652463647,-36.3166203476201,-2.26052962479997,-48.536165187148,-4.89029573818159,8.24766449054698,-1.02724393743913,-3.88961641079352
"22","Azerbaijan","AZ",2018,10,4034.30590035476,0.0564614358626803,-20.5467608443682,-3.40469225152197,-35.5912942056051,2.04818429342169,8.30258954616836,-1.0554200845481,-0.511479186387501
"23","Azerbaijan","AZ",2019,10,4590.62584675236,0.137897313723454,-22.9968494153392,4.03457540617115,-32.7246416386137,10.7867413939948,8.43177164381475,-1.00371991883844,1.17300916593614
"24","Azerbaijan","AZ",2020,10,4558.3448731569,-0.00703193304640459,-32.1148839666736,3.86510901691267,-53.9901642295703,6.62017100249593,8.42471487020722,-1.03387403083296,-0.218511499381841
"25","Belarus","BY",2015,5,8096.34402853072,0.0405659358319148,26.0452218586823,-0.374603934015665,94.2489612654689,-8.2736559544936,8.99916788426705,-0.414389422259985,0.526011211379938
"26","Belarus","BY",2016,5,5739.10957403817,-0.29114801028537,40.7858985515667,-0.65884123768051,122.76831108461,-5.53188815508367,8.65505935080607,-0.635946968198436,-1.91322682744243
"27","Belarus","BY",2017,6,4872.64417360699,-0.150975580663381,41.8464382714056,-0.191007101736263,118.689210835282,-5.29500303334838,8.49139202019116,-0.792277043200707,-1.99443788487221
"28","Belarus","BY",2018,6,5618.91107325981,0.153154400991362,37.9721037408793,1.58055848400684,96.5113659404305,-3.33756365263471,8.63389316490756,-0.733987739792117,1.47750608696274
